Title,Abstract,Related
Spatio-Temporal Monitoring of Atmospheric Pollutants Using Earth Observation Sentinel 5P TROPOMI Data: Impact of Stubble Burning a Case Study,"The problems of atmospheric pollutants are causing significant concern across the globe and in India. The aggravated level of atmospheric pollutants in the surrounding environment poses serious threats to normal living conditions by deteriorating air quality and causing adverse health impacts. Pollutant concentration increases during harvesting seasons of Kharif/Rabi due to stubble burning and is aggravated by other points or mobile sources. The present study is intended to monitor the spatio-temporal variation of the major atmospheric pollutants using Sentinel-5P TROPOMI data through cloud computing. Land Use/Land Cover (LULC-categorization or classification of human activities and natural coverage on the landscape) was utilised to extract the agricultural area in the study site. It involves the cloud computing of MOD64A1 (MODIS Burned monthly gridded data) and Sentinel-5P TROPOMI (S5P Tropomi) data for major atmospheric pollutants, such as CH4, NO2, SOx, CO, aerosol, and HCHO. The burned area output provided information regarding the stubble burning period, which has seen post-harvesting agricultural residue burning after Kharif crop harvesting (i.e., rice from April to June) and Rabi crop harvesting (i.e., wheat from September to November). The long duration of stubble burning is due to variation in farmers' harvesting and burning stubble/biomass remains in the field for successive crops. This period was used as criteria for considering the cloud computing of the Sentinel-5P TROPOMI data for atmospheric pollutants concentration in the study site. The results showed a significant increase in CH4, SO2, SOx, CO, and aerosol concentration during the AMJ months (stubble burning of Rabi crops) and OND months (stubble burning of Kharif crops) of each year. The results are validated with the ground control station data for PM2.5/PM10. and patterns of precipitation and temperature-gridded datasets. The trajectory frequency for air mass movement using the HYSPLIT model showed that the highest frequency and concentration were observed during OND months, followed by the AMJ months of each year (2018, 2019, 2020, and 2021). This study supports the role and robustness of Earth observation Sentinel-5P TROPOMI to monitor and evaluate air quality and pollutants distribution. Â© 2022 by the authors.",
A weather regime characterisation of winter biomass aerosol transport from southern Africa,"During austral winter, a compact low cloud deck over the South Atlantic contrasts with clear sky over southern Africa, where forest fires triggered by dry conditions emit large amounts of biomass burning aerosols (BBAs) in the free troposphere. Most of the BBA burden crosses the South Atlantic embedded in the tropical easterly flow. However, midlatitude synoptic disturbances can deflect part of the aerosol from the main transport path towards southern extratropics. In this study, the first objective classification of the synoptic variability controlling the spatial distribution of BBA in southern Africa and the South Atlantic during austral winter (August to October) is presented. By analysing atmospheric circulation data from reanalysis products, a six-class weather regime (WR) classification of the region is constructed. The classification reveals that the synoptic variability is composed of four WRs, representing disturbances travelling at midlatitudes, and two WRs accounting for pressure anomalies in the South Atlantic. The WR classification is then successfully used to characterise the aerosol spatial distribution in the region in the period 2003-2017, in both reanalysis products and station data. Results show that the BBA transport towards southern extratropics is controlled by weather regimes associated with midlatitude synoptic disturbances. In particular, depending on the relative position of the pressure anomalies along the midlatitude westerly flow, the BBA transport is deflected from the main tropical route towards southern Africa or the South Atlantic. Moreover, the WRs accounting for midlatitude disturbances show organised transition sequences, which allow one to illustrate the evolution of the BBA northerly transport across the region in the context of a wave pattern. The skill in characterising the BBA transport shown by the WR classification indicates the potential for using it as a diagnostic/predictive tool for the aerosol dynamics, which is a key component for the full understanding and modelling of the complex radiation-aerosol-cloud interactions controlling the atmospheric radiative budget in the region. Â© 2021 Marco Gaetani et al.",
"Land use regression modeling for fine particulate matters in Bangkok, Thailand, using time-variant predictors: Effects of seasonal factors, open biomass burning, and traffic-related factors","In recent years, as the level of fine particulate matter (PM2.5) concentration has become more closely monitored in Thailand and its harmful effects on health have been widely recognized by the public, the Thai government has debated various measures to improve air quality. In this paper, the Land Use Regression (LUR) technique was used to model the relationship between the daily PM2.5 concentration and various predictor variables using data from the entire year of 2019. The results confirmed strong seasonal effects on PM2.5 and substantial effects of time-variant predictors, including open biomass burning and meteorological conditions. However, time-invariant variables, including traffic, transportation, and land use characteristics were generally weaker predictors in the LUR models. The results of the model based on data for the entire year showed better statistical fit and robustness than the seasonal models. The relatively low adjusted R2 of the models developed in this study compared with previous LUR studies suggests that more detailed data, especially the traffic volume on roads nearby monitoring sites, might be necessary to improve the model's performance. Finally, the large buffer size of the open biomass burning predictor implied that the measures to reduce PM2.5 by limiting open biomass burning would require international cooperation as some fires within the buffer area occurred in neighboring countries outside the borders of Thailand. Â© 2020 Elsevier Ltd",
Investigating diesel engines as an atmospheric source of isocyanic acid in urban areas,"Isocyanic acid (HNCO), an acidic gas found in tobacco smoke, urban environments, and biomass-burning-affected regions, has been linked to adverse health outcomes. Gasoline- and diesel-powered engines and biomass burning are known to emit HNCO and hypothesized to emit precursors such as amides that can photochemically react to produce HNCO in the atmosphere. Increasingly, diesel engines in developed countries like the United States are required to use selective catalytic reduction (SCR) systems to reduce tailpipe emissions of oxides of nitrogen. SCR chemistry is known to produce HNCO as an intermediate product, and SCR systems have been implicated as an atmospheric source of HNCO. In this work, we measure HNCO emissions from an SCR system-equipped diesel engine and, in combination with earlier data, use a three-dimensional chemical transport model (CTM) to simulate the ambient concentrations and source/pathway contributions to HNCO in an urban environment. Engine tests were conducted at three different engine loads, using two different fuels and at multiple operating points. HNCO was measured using an acetate chemical ionization mass spectrometer. The diesel engine was found to emit primary HNCO (3-90mg-1) but we did not find any evidence that the SCR system or other aftertreatment devices (i.e., oxidation catalyst and particle filter) produced or enhanced HNCO emissions. The CTM predictions compared well with the only available observational datasets for HNCO in urban areas but underpredicted the contribution from secondary processes. The comparison implied that diesel-powered engines were the largest source of HNCO in urban areas. The CTM also predicted that daily-averaged concentrations of HNCO reached a maximum of 110pptv but were an order of magnitude lower than the 1ppbv level that could be associated with physiological effects in humans. Precursor contributions from other combustion sources (gasoline and biomass burning) and wintertime conditions could enhance HNCO concentrations but need to be explored in future work. Â© 2017 Author(s).",
Source contributions and regional transport of primary particulate matter in China,"A source-oriented CMAQ was applied to determine source sector/region contributions to primary particulate matter (PPM) in China. Four months were simulated with emissions grouped to eight regions and six sectors. Predicted elemental carbon (EC), primary organic carbon (POC), and PPM concentrations and source contributions agree with measurements and have significant spatiotemporal variations. Residential is a major contributor to spring/winter EC (50-80%), POC (60%-90%), and PPM (30-70%). For summer/fall, industrial contributes 30-50% for EC/POC and 40-60% for PPM. Transportation is more important for EC (20-30%) than POC/PPM (<5%). Open burning is important in summer/fall of Guangzhou and Chongqing. Dust contributes to 1/3-1/2 in spring/fall of Beijing, Xi'an and Chongqing. Based on sector-region combination, local residential/transportation and residential/industrial from Heibei are major contributors to spring PPM in Beijing. In summer/fall, local industrial is the largest. In winter, residential/industrial from local and Hebei account for >90% in Beijing. Â© 2015 Elsevier Ltd.",
Multi-sensor cloud and aerosol retrieval simulator and remote sensing from model parameters-Part 2: Aerosols,"The Multi-sensor Cloud Retrieval Simulator (MCRS) produces a ""simulated radiance"" product from any high-resolution general circulation model with interactive aerosol as if a specific sensor such as the Moderate Resolution Imaging Spectroradiometer (MODIS) were viewing a combination of the atmospheric column and land-ocean surface at a specific location. Previously the MCRS code only included contributions from atmosphere and clouds in its radiance calculations and did not incorporate properties of aerosols. In this paper we added a new aerosol properties module to the MCRS code that allows users to insert a mixture of up to 15 different aerosol species in any of 36 vertical layers.This new MCRS code is now known as MCARS (Multi-sensor Cloud and Aerosol Retrieval Simulator). Inclusion of an aerosol module into MCARS not only allows for extensive, tightly controlled testing of various aspects of satellite operational cloud and aerosol properties retrieval algorithms, but also provides a platform for comparing cloud and aerosol models against satellite measurements. This kind of two-way platform can improve the efficacy of model parameterizations of measured satellite radiances, allowing the assessment of model skill consistently with the retrieval algorithm. The MCARS code provides dynamic controls for appearance of cloud and aerosol layers. Thereby detailed quantitative studies of the impacts of various atmospheric components can be controlled.In this paper we illustrate the operation of MCARS by deriving simulated radiances from various data field output by the Goddard Earth Observing System version 5 (GEOS-5) model. The model aerosol fields are prepared for translation to simulated radiance using the same model subgrid variability parameterizations as are used for cloud and atmospheric properties profiles, namely the ICA technique. After MCARS computes modeled sensor radiances equivalent to their observed counterparts, these radiances are presented as input to operational remote-sensing algorithms.Specifically, the MCARS-computed radiances are input into the processing chain used to produce the MODIS Data Collection 6 aerosol product (M{O/Y}D04). The M{O/Y}D04 product is of course normally produced from M{O/Y}D021KM MODIS Level-1B radiance product directly acquired by the MODIS instrument. MCARS matches the format and metadata of a M{O/Y}D021KM product. The resulting MCARS output can be directly provided to MODAPS (MODIS Adaptive Processing System) as input to various operational atmospheric retrieval algorithms. Thus the operational algorithms can be tested directly without needing to make any software changes to accommodate an alternative input source.We show direct application of this synthetic product in analysis of the performance of the MOD04 operational algorithm. We use biomass-burning case studies over Amazonia employed in a recent Working Group on Numerical Experimentation (WGNE)-sponsored study of aerosol impacts on numerical weather prediction (Freitas et al., 2015). We demonstrate that a known low bias in retrieved MODIS aerosol optical depth appears to be due to a disconnect between actual column relative humidity and the value assumed by the MODIS aerosol product. Â© 2016 Author(s).",
Near-source dispersion and coagulation parameterization: Application to biomass burning emissions,"Aerosol size distributions near biomass-burning sources undergo rapid evolution, primarily due to coagulation, which significantly alters the particle number size distribution. Existing long-range aerosol transport and climate prediction models often overlook near-source dynamics involving simultaneous coagulation and dispersion. To bridge this gap, the present study introduces a coagulation-dispersion model and provides semi-analytical solutions for the effective size distribution parameters. The precise solution for a diffusion-less coagulating plume with spatially varying particle concentration supports the conceptual accuracy of the semi-analytical parameterization for dispersion-coagulation model. These solutions form the basis for a parameterization scheme that considers input parameters such as source dimensions, particle mass flux, particle size, and atmospheric conditions. Utilizing this parameterization for case-specific biomass burning emissions shows a decrease in number emission rate by approximately a factor of 600, while the count median diameter of the initial size distribution increases by around 7 times. Additionally, we estimate the optical properties of aerosols both before and after the introduction of the near-source parameterization scheme. Results indicate an increase by a factor of 4 in the aerosol extinction coefficient and by a factor of âˆ¼20 in the scattering coefficient, which will significantly influence the calculation of aerosol optical properties in global models. These changes in optical properties primarily stem from modifications in aerosol size distribution resulting from near-source aerosol dynamics. The results are further discussed. Â© 2024 The Authors",
Study on global atmospheric aerosol type identification from combined satellite and ground observations,"Accurate identification of aerosol types is essential for understanding the radiative properties of aerosols and further studying aerosol regional and global climate effects. However, aerosol type identification studies combining satellite and ground observations are rare. In this paper, an aerosol type identification model based on aerosol relative optical depth (AROD) and volume depolarization ratio (VDR) is developed by effectively matching satellite and ground observation data. The accuracy and applicability of the new model are verified by typical AERONET sites with dominant aerosols, and the spatial distribution characteristics of aerosol types in global continents are also studied and analyzed with joint observation data from 2018 to 2023 globally. The results show that the East Asian continent, North America, and Europe are the main source regions for continental aerosol emissions. Among the continents, densely populated East/Southeast Asia is more heavily polluted by anthropogenic aerosols than other continents, while North America and Europe are relatively less polluted. The Indo-China Peninsula, central and southern Africa, central South America, and central and northern North America are the main source emission regions of global biomass burning aerosol, while northern Africa, West Asia, and Central Asia emit most of the global dust and polluted dust aerosols. Additionally, marine aerosols are more frequent along the east coast of North America, the west coast of Africa, the Malay Archipelago, and some island sites. The present study provides a basis for aerosol type identification using joint observation data and effectively promotes research in related fields. Â© 2025 Elsevier Ltd",
Critical review of air pollution contribution in Delhi due to paddy stubble burning in North Indian States,"The application of diverse methods/tools (satellite data, ground-based monitoring and dispersion modelling) for quantitative assessment of air pollution has created a critical challenge for policymakers, in understating the actual stubble burning contribution in North Indian states including Punjab, Haryana, Delhi and western Uttar Pradesh. Considering the variations in monitoring sites, quantified emissions, satellite data resolutions, parameterization schemes, meteorology and/or adopted models, huge differences in the source contribution are reported. Considering these ambiguities, the present study is an attempt to review the studies revealing actual paddy stubble burning contribution to air quality of Delhi conducted year 2015 onwards; one year before the severe episodic smog event of November 2016. A total of 114 articles were searched using different keywords for subsequent in-depth analysis. The biomass burning share was broadly studied for winter, summer and post-monsoon seasons. Further, to understand the season-specific nature of the paddy stubble burning activity, the analysis was restricted to post-monsoon months. A co-occurrence keyword network analysis was performed based on which biomass/stubble burning related studies were divided into three clusters based on i) source apportionment using receptor modeling, ii) satellite data (AOD values coupled with ground-based observation and wind back trajectory and, iii) regional scale chemical transport modeling approach. Some studies were generalized displaying correlation patterns, some used only fire count data and correlated with AOD while some used either satellite data or regional scale models. Learning from the gap analysis of the reviewed studies led to the development of an integrated assessment protocol to quantify the stubble-burning contribution in the region. Â© 2025 Elsevier Ltd",
Modeling the impacts of open biomass burning on regional O3 and PM2.5 in Southeast Asia considering light absorption and photochemical bleaching of Brown carbon,"Open biomass burning in Southeast Asia has significant adverse impacts on air quality in the region and in downwind areas. These biomass burning events emit large amounts of light absorbing brown carbon (BrC). Once in the atmosphere, the light absorbing capacity of BrC is reduced by various oxidation processes. However, few modeling studies have been conducted to explicitly examine light absorption and bleaching on the prediction of ozone (O3) and fine particulate matter (PM2.5). In this study, a modified Community Multiscale Air Quality (CMAQ) model that explicitly tracks the concentrations of light absorbing and non-light absorbing organic aerosol components from different emission sources and the bleaching of BrC due to photooxidation and OH oxidation is applied to widespread open biomass burning events in March 2018 in Southeast Asia. Open biomass burning accounts for as much as 20â€“40 ppb (30â€“50%) of the maximum daily average 8-h ozone (MDA8 O3) and 40â€“120 Î¼g mâˆ’3 (60â€“90%) of the daily average PM2.5 in the emission source regions. Compared to a simulation without BrC light absorption, the predicted MDA8 O3 and PM2.5 are as much as 16 ppb and 16 Î¼g mâˆ’3 lower, respectively, than a simulation with light absorption. This confirms that neglecting the UV light absorption of BrC can lead to significant overpredictions of O3 and PM2.5 during the open biomass burning periods, which may lead to an overestimation of the adverse impacts of biomass burning on public health in Southeast Asia. The addition of BrC bleaching results in a 0.5â€“1% increase in MDA8 O3 and 1â€“5% increase in PM2.5 compared to the case without BrC bleaching. The results of this study indicate that light absorption by BrC needs to be considered in chemical transport modeling of large open biomass burning events. The BrC bleaching process is relatively slow and neglecting this process does not significantly change the predictions of MDA8 O3 and PM2.5 during open biomass burning. Â© 2024 Elsevier Ltd",
Analysis of Aerosol Optical Mixing Using the EOMOS Model From Typical AERONET Sites,"Satellite remote sensing predominantly employs optical properties for aerosol classification, often neglecting aerosol mixing and lacking validation accuracy. This study defines five aerosol types: marine, continental, dust, urban-industrial, and biomass-burning. Proposing the external optical mixing optimization solver (EOMOS) model based on the external mixing assumption, the model's accuracy is enhanced by approximately 95.0% through constraints and optimization. Perturbation experiments on particle size distribution and complex refractive index validate the model's robustness. The EOMOS model analyzes aerosol mixing states, and quantifies contributions to aerosol optical depth (AOD) for each aerosol type, surpassing traditional methods by at least 139.7%. Additionally, the EOMOS model examines trends in aerosol type AOD, revealing a noticeable post-2013 reduction in AOD of urban-industrial aerosols in Beijing, suggesting pollution mitigation. In Brazil, urban-industrial and biomass-burning aerosol AODs were 328.1% and 107.7% higher in 2005, 2007, and 2010, primarily due to fire impact. Â© 2024. The Author(s).",
Source-specific health effects of internally exposed organics in urban PM2.5 based on human serum albumin adductome analysis,"Once inhaled, organic compounds in ambient PM2.5 permeate the bloodstream, resulting in internal exposure. The intricate composition of these internalized organic molecules complicates the processes of source attribution and toxicity assessment. A systematic framework to assess the health impacts of water-soluble organic molecules (WSOMs) originating from diverse sources is still undeveloped. This study aims to comprehensively analyze the source-specific health effects of internalized organics in urban PM2.5 through human serum albumin (HSA) non-covalent adductomes with WSOMs. Using high-resolution mass spectrometry, surface plasmon resonance, and machine learning, we mapped HSA-WSOM interactions, uncovering WSOM's potential internal exposure through its HSA adductome. The study identified eight distinct sources of internalized WSOMs, primarily from biogenic emissions, gasoline exhaust, and biomass combustion. Notably, WSOMs from these sources exhibited a predominant interaction with HSA residues ARG257, LEU238, and TRP150, substantially altering the functional dynamics of fatty acid binding site two and the hydrophobic cavity via hydrogen bonding and hydrophobic interactions. The primary health impacts of internalized WSOMs were identified as neurotoxicity and respiratory toxicity. WSOMs originating from biogenic sources and ocean emissions were mainly responsible for neurotoxic effects, whereas those from biomass burning and gasoline exhaust predominantly caused respiratory toxicity. Using the HSA adductome framework, our study identifies source-specific profiles and health effects of internally exposed WSOMs in urban PM2.5, emphasizing the importance of targeted mitigation strategies. Â© 2024",
Spatiotemporal Variability and Source Apportionment of Particulate Matter (PM) Emissions Using Binned Size Distributions: Insights from MERRA-2 Over Africa,"Particulate matter (PM) plays a crucial role in atmospheric processes, significantly impacting air quality, climate, and human health across Africa. The present study identified five distinct regions: Western, Northern, Central, Eastern and Southern Africa, each exhibiting unique PM bin characteristics and sources. This study employed the multispectral data from Modern-Era Retrospective analysis for Research and Applications, Version 2 (MERRA-2) to characterize and apportion PM sources across the continent in five bins; Bin1 to Bin5. While, AERONET sun-photometry served as a validation tool at 440Â nm, 500Â nm and 675Â nm, offering high-quality ground-based measurements. The validation of MERRA-2 model AOD data with ground-based AERONET measurements showed low, moderate and strong correlation coefficients, indicating reliable data for regional PM analysis. Further, on source apportionment, analysis identifies major PM sources, including Sahara dust, biomass burning, and urban pollution (0.0024), highlighting the implications of air pollution on human health. Notably, the Bodele Depression in Chad emerged as a dominant dust emission hotspot, contributing significantly to transboundary dust transport. The contributions of each PM dust bin over the five African regions followed a similar pattern with posting approximately 50% over all regions. However, the PM matter was noted to be high over the Northern and Western regions of Africa attributed to Sahara desert where dust storms are dominant. Basing on the findings, there is urgent need to integrate advanced data technologies into future atmospheric and environmental studies by adopting high resolution multispectral and hyper spectral remote sensing and machine learning-driven source apportionment. An effective air quality management policies should focus on mitigating dust emissions in high-risk areas such as Northern Africa and the Sahel Also, there is need to strengthen observational networks across Africa especially in regions with complex aerosol interactions that are critical in refining air quality management strategies. Â© King Abdulaziz University and Springer Nature Switzerland AG 2025.",
Assessing ozone formation impact through SHAP interaction redistribution analysis: A novel framework for evaluating VOC photochemical loss and source interactions,"Despite extensive research on tropospheric ozone (O3) formation, quantifying the impact of photochemical processes on source contributions remains challenging. This study developed a SHAP interaction redistribution analysis (SIRA) framework that systematically analyzes and reallocates machine learning interpretation results to quantify photochemical impacts on O3 formation and source contributions. Based on improved photochemical age parameterization method, the mean VOC photochemical loss concentration was 7.44 Â± 10.36 ppb, with alkenes, aromatics, and OVOCs showing the highest ratios of photochemical loss to observed concentrations (1.35, 0.90, and 0.66, respectively). SHAP analysis revealed meteorological factors and NO as primary contributors to O3 formation (50.82 % and 12.24 %, respectively). The importance ratio of TVOCs to NOx was 1.5 during the study period and increased to 2.4 during O3 pollution episodes, indicating VOC-limited O3 formation with enhanced VOC sensitivity during pollution periods. The SIRA framework identified secondary generation (48.38 %), biogenic emissions (13.87 %), and industrial emissions (9.33 %) as major O3 contributors under photochemical loss conditions. After redistributing secondary generation through source interaction analysis, biogenic emissions and biomass burning showed the highest increases in SHAP importance (41.18 % with mean |SHAP values| = 1.87 and 40.27 % with mean |SHAP values| = 0.98, respectively), identifying them as the primary precursor sources for secondary generation. Among anthropogenic sources, vehicle emissions became the dominant contributor with a 17.0 % increase in contribution. This framework offers an innovative approach for quantifying the photochemical impacts on source contributions, enabling more targeted and effective strategies for O3 pollution control. Â© 2025 Elsevier Inc.",
How air pollution affects cause-specific emergency hospital admissions on days with biomass combustion in Spain?,"Although wildfires are growing in number, intensity and extent due to climate change, few studies have been undertaken to analyse their health impact, and fewer still to analyse the impact of variables other than particulate matter. The objective of this study is to analyse the short-term impact of NO2, PM10, PM2.5, O3 and temperature in heat waves on emergency hospital admissions in Spain on days when biomass combustion occurs. We conducted an ecological longitudinal time series study across the period 2013â€“2018. The dependent variables were emergency hospital admissions due to all causes (ICD-10: A00-R99), circulatory causes (ICD-10: I00-I99) and respiratory causes (ICD-10: J00-J99) in 9 representative Spanish provinces. The independent variables were daily mean air pollution concentrations measured at a provincial level. We also included daily maximum temperatures recorded at reference observatories in the respective provinces. Poisson generalised linear models were fitted for days with and without PM advections due to biomass burning smoke. We controlled for trends, seasonalities, the autoregressive nature of the series, Sundays and Public Holidays. Days with biomass burning smoke advections increased PM concentrations in all provinces and ozone in many of them, something that did not occur in equal measure in the case of NO2. Nevertheless, the principal impact on admissions was due to O3, followed by NO2, PM, and lastly, heat-wave temperatures. This pattern was observed for all three causes analysed. The role of PM was relegated to that of a third factor, and the role of temperature to an order of lesser magnitude than that of chemical pollution. To focus the health impacts of wildfires exclusively on the impact of PM concentrations would be to minimise their real impact on population health. It is therefore essential to implement integrated plans that take into account the joint effect of all atmospheric variables affected. Â© 2025 Elsevier B.V.",
A satellite-based analysis of semi-direct effects of biomass burning aerosols on fog and low-cloud dissipation in the Namib Desert,"In the Namib Desert, fog is the only regular water input and, thus, is a crucial water source for its fauna and flora. Each year, between June and October, absorbing biomass burning aerosols (BBAs) overlie the stratocumulus clouds in the adjacent Southeast Atlantic. In some synoptic settings, this layer of BBAs reaches Namibia and its desert, where it interacts with coastal fog and low clouds (FLCs). In this study, a novel 15-year data set of geostationary satellite observations of FLC dissipation time in the Namib Desert is used, along with reanalysis data, to better understand the potential semi-direct effects of BBAs on FLC dissipation in the Namib Desert, i.e., through adjustments of atmospheric stability and thermodynamics via the interaction of aerosols with radiation. This is done by investigating both the time of day when FLCs dissolve and the synoptic-scale meteorology depending on BBA loading. It is found that FLC dissipation time is significantly later on high-BBA-loading days. BBAs are transported to the Namib along moist free-tropospheric air by a large-scale anticyclonic recirculation pattern. At the surface, the associated longwave heating strengthens a continental heat low, which modifies the circulation and boundary layer moisture along the coastline, complicating the attribution of BBA effects. During high-BBA days, the vertical profiles of the temporal development of air temperatures highlight contrasting daytime and nighttime processes modifying the local inversion. These processes are thought to be driven by greenhouse warming as a result of the moisture in the BBA plumes and BBA absorption (only during the daytime). A statistical learning framework is used to quantify meteorological and BBA influences on FLC dissipation time. The statistical model is able to reproduce the observed differences in FLC dissipation time between high- and low-BBA days and attributes these differences mainly to differences in circulation, boundary layer moisture and near-surface air temperature along the coastline. However, the model is prone to underfitting and is not able to reproduce the majority of the FLC dissipation variability. While the model does not suggest that BBA patterns are important for FLC dissipation, the findings show how the moist BBA plumes modify local thermodynamics, to which FLC dissipation is shown to be sensitive. The findings highlight the challenges of disentangling meteorological and aerosol effects on cloud development using observations and invite detailed modeling analyses of the underlying processes, for example, with large-eddy simulations. Â© Author(s) 2025.",
"The Fungal and Protist Community as Affected by Tillage, Crop Residue Burning and N Fertilizer Application","The bacterial community in soil is often affected by agricultural practices, but how they affect protists and fungi is less documented. Soil from treatments that combined different N fertilizer application rates, tillage and crop residue management was sampled from a field trial started by the International Maize and Wheat Improvement Center (CIMMYT) at the â€˜Campo Experimental Norman E. Borlaugâ€™ (CENEB) in the Yaqui Valley in the northwest of Mexico in the early 1990s, and the fungal and protist community determined. Tillage, residue burning, and N fertilizer application had no significant effect on the fungal and protists alpha diversity expressed as Hill numbers and no significant effect on the fungal and protist community structure considering all species. The relative abundance of plant pathogens and undefined saprotrophs as determined with FUNGuildR increased significantly with tillage, while that of dung-plant and dung-soil saprotroph, and plant pathogens by burning (P < 0.05). It was found that the protists and fungal community structures were not altered by different agricultural practices, but some fungal guilds were, i.e., plant pathogens and saprotrophs, which might affect soil organic matter decomposition, nutrient cycling and crop growth. Â© The Author(s) 2025.",
Revisiting the high tropospheric ozone over southern Africa: role of biomass burning and anthropogenic emissions,"Tropospheric ozone over southern Africa is particularly high and causes tremendous health risks and crop yield losses. It has been previously attributed to the influence by biomass burning (BB), with a neglected contribution from anthropogenic emissions. However, due to the lack of measurements for ozone and its precursors, the modeled impacts of BB and anthropogenic emissions on tropospheric ozone levels in southern Africa were not well evaluated. In this study, we combined the nested GEOS-Chem simulation with a horizontal resolution of 0.5Â°Ã—0.625Â° with available multiple observations at the surface and from space to quantify tropospheric ozone and its main drivers in southern Africa. Firstly, BB emissions from current different inventories exhibit similar peaks in the summer season but also have large uncertainties in southern Africa (e.g., uncertainty of a factor of 2-3 in emitted NOx). The model-satellite comparison in the fire season (July-August) in 2019 shows that using the widely used Global Fire Emissions Database version 4.1 (GFED4.1) inventory, the model tends to overestimate by 87 % compared to OMI NO2, while the Quick Fire Emissions Dataset (QFED2) inventory can greatly reduce this model bias to only 34 %. Consequently, the modeled tropospheric column ozone (TCO) bias was reduced from 14 % by GFED4.1 to 2.3 % by QFED2. In addition, the QFED2 also has a much better spatial representativeness than GFED4.1. The simulated surface daily maximum 8 h mean (MDA8) ozone was decreased from 74 ppb by GFED4.1 to only 56 ppb by QFED2. This suggests a highly overestimated role of BB emissions in surface ozone if GFED4.1 is adopted. The model-observation comparison at the surface shows that the global Community Emissions Data System (CEDSv2) anthropogenic inventory tends to underestimate anthropogenic NOx emissions in typical southern African cities and likely misrepresented anthropogenic sources in some areas. That means that urban ozone and PM2.5 concentrations in southern Africa may be strongly underestimated. For example, a 10-fold increase in anthropogenic NOx emissions can change the ozone chemistry regime and increase PM2.5 by up to 50 Î¼gm-3 at the city of Luanda. Furthermore, we also find that TROPOMI can already capture the urban NO2 column hotspots over low-emission regions like southern Africa, while this is unavailable from the OMI instrument, highlighting the critical role of high-resolution measurements in understanding atmospheric chemistry issues over southern Africa. Our study presents a deeper understanding of the key emission sources and their impacts over southern Africa that will be helpful not only to formulate targeted pollution controls, but also to enhance the capability to predict future air quality and climate change, which would be beneficial for achieving a healthy, climate-friendly, and resilient development in Africa. Â© 2025 Yufen Wang et al.",
Environmentally Persistent Free Radical Emissions from Indoor Burning of Pelletized Biofuels,"Pelletization of biomass fuels has been promoted as an effective alternative to mitigate particulate matter (PM) emissions from the residential burning of raw biomass materials; however, environmentally persistent free radicals (EPFRs), a class of harmful components in PM, from the biomass pellet burning have been rarely studied yet. Here, laboratory-based combustion experiments were conducted to characterize EPFRs for different pellets burned in cooking and heating stoves and compared with those for the corresponding uncompressed biofuels. Emission factors (EFs) of EPFRs for biomass pellets ranged from 2.97 Ã— 1017 to 2.33 Ã— 1019 spins/kg, following a log-normal distribution, with a geometric mean of 4.21 Ã— 1018 spins/kg. These EPFRs were carbon-centered free radicals adjacent to oxygen atoms. Emissions varied largely across different fuel-stove combinations, with the combustion efficiency and combustion temperature as key influencing factors explaining 49% of the variations in EFPR EFs. Compared to raw fuels, pelletized fuels showed 50-80% lower EPFR EFs and 40-70% lower EPFRs per PM but more different EPFR types, and there was no significant change in the degree of oxidation of the EPFRs. The burning of pellets made from crop residues in a clean cookstove can reduce nearly 90% EFPRs from the raw biomass burning, which is different from the reduction degree in PM mass. This study provides valuable data in promoting the understanding of EPFR formation and deployment of biomass pellets in the protection of air quality and human health. Â© 2025 American Chemical Society.",
Improved biomass burning emissions from 1750 to 2010 using ice core records and inverse modeling,"Estimating fire emissions prior to the satellite era is challenging because observations are limited, leading to large uncertainties in the calculated aerosol climate forcing following the preindustrial era. This challenge further limits the ability of climate models to accurately project future climate change. Here, we reconstruct a gridded dataset of global biomass burning emissions from 1750 to 2010 using inverse analysis that leveraged a global array of 31 ice core records of black carbon deposition fluxes, two different historical emission inventories as a priori estimates, and emission-deposition sensitivities simulated by the atmospheric chemical transport model GEOS-Chem. The reconstructed emissions exhibit greater temporal variabilities which are more consistent with paleoclimate proxies. Our ice core constrained emissions reduced the uncertainties in simulated cloud condensation nuclei and aerosol radiative forcing associated with the discrepancy in preindustrial biomass burning emissions. The derived emissions can also be used in studies of ocean and terrestrial biogeochemistry. Â© The Author(s) 2024.",
