Title,Abstract,related,prevent,monitor,analyze
Examining the spatiotemporal dynamics of urban heat island and its impact on air pollution in Thailand,"Bangkok's, the capital of Thailand, rapid economic growth has led to a rising population and vehicle use, intensifying urban heat island (UHI) effects and air pollution. The relationship between UHI and air pollutants remains uncertain, influenced by factors such as location, spatial distribution, and the type of pollutants. Additionally, seasonality may contribute to this uncertainty, as UHI, land surface temperature, and air pollutants follow seasonal patterns. Understanding not only the relationship but also the trends in UHI and air pollution is crucial for gaining valuable insights that can help predict future scenarios and inform effective management and policy decisions. This study investigates the association between UHI and air pollution using data from the Sentinel-5P, which does not provide a single pollutant but instead offers measurements for nitrogen dioxide (NO2), sulfur dioxide (SO2), ozone (O3), carbon monoxide (CO), formaldehyde (HCHO), and aerosol optical depth (AOD) from Terra MODIS. Rainfall and normalized difference vegetation index (NDVI) are incorporated to analyze the factors influencing air pollution. Smoothed daytime and nighttime land surface temperatures (LST) from MODIS are converted to UHI in Bangkok Metropolitan and Vicinity from 2019 to 2023 by calculating the difference between LST and averaged LST within rural area. Their correlation (Pearson's correlation coefficient) with air pollutants and trend analysis is demonstrated using data from individual location. The relationship analysis is divided into four cases: all data, winter, dry, and rainy seasons. The results indicated all air pollutants peak from winter to the dry season, corresponding to the agricultural burning period, except for O3, which peaks during the rainy season. The impact of UHI-pollutants correlations is evident, with NO2 levels peaking during the dry season in the daytime and AOD, CO, and HCHO levels peaking during the winter season at nighttime. Additionally, trend analysis revealed an increasing pattern in daytime UHI as well as in NO and SO2 levels, highlighting the potential intensification of urban heat and associated air pollution over time. The influence of NDVI remains inconclusive aligned with seasonal. We outline strategies to mitigate UHI and air pollution based on our findings. This research highlights the urgent need for international collaboration to reduce air pollution caused by burning activities. © 2025 The Author(s)",,,,
NEIVAv1.0: Next-generation Emissions InVentory expansion of Akagi et al. (2011) version 1.0,"Accurate representation of fire emissions is critical for modeling the in-plume, near-source, and remote effects of biomass burning (BB) on atmospheric composition, air quality, and climate. In recent years application of advanced instrumentation has significantly improved knowledge of the compounds emitted from fires, which, coupled with a large number of recent laboratory and field campaigns, has facilitated the emergence of new emission factor (EF) compilations. The Next-generation Emissions InVentory expansion of Akagi (NEIVA) version 1.0 is one such compilation in which the EFs for 14 globally relevant fuel and fire types have been updated to include data from recent studies, with a focus on gaseous non-methane organic compounds (NMOC_g). The data are stored in a series of connected tables that facilitate flexible querying from the individual study level to recommended averages of all laboratory and field data by fire type. The querying features are enabled by assignment of unique identifiers to all compounds and constituents, including thousands of NMOC_g. NEIVA also includes chemical and physical property data and model surrogate assignments for three widely used chemical mechanisms for each NMOC_g. NEIVA EF datasets are compared with recent publications and other EF compilations at the individual compound level and in the context of overall volatility distributions and hydroxyl (OH) reactivity (OHR) estimates. The NMOC_g in NEIVA include ∼ 4–8 times more compounds with improved representation of intermediate volatility organic compounds, resulting in much lower overall volatility (lowest-volatility bin shifted by as much as 3 orders of magnitude) and significantly higher OHR (up to 90 %) than other compilations. These updates can strongly impact model predictions of the effects of BB on atmospheric composition and chemistry. © Author(s) 2024.",,,,
Long-Term Retrospective Predicted Concentration of PM2.5 in Upper Northern Thailand Using Machine Learning Models,"This study aims to build, for the first time, a model that uses a machine learning (ML) approach to predict long-term retrospective PM2.5 concentrations in upper northern Thailand, a region impacted by biomass burning and transboundary pollution. The dataset includes PM10 levels, fire hotspots, and critical meteorological data from 1 January 2011 to 31 December 2020. ML techniques, namely multi-layer perceptron neural network (MLP), support vector machine (SVM), multiple linear regression (MLR), decision tree (DT), and random forests (RF), were used to construct the prediction models. The best ML prediction model was selected considering root mean square error (RMSE), mean prediction error (MPE), relative prediction error (RPE) (the lower, the better), and coefficient of determination (R2) (the bigger, the better). Our study found that the ML model-based RF technique using PM10, CO2, O3, fire hotspots, air pressure, rainfall, relative humidity, temperature, wind direction, and wind speed performs the best when predicting the concentration of PM2.5 with an RMSE of 6.82 µg/m3, MPE of 4.33 µg/m3, RPE of 22.50%, and R2 of 0.93. The RF prediction model of PM2.5 used in this research could support further studies of the long-term effects of PM2.5 concentration on human health and related issues. © 2025 by the authors.",,,,
Climate-vegetation intersection in determining the burn rate in an area of the Brazilian Cerrado,"This study aimed to develop a predictive model, using climatic data and vegetation indices collected via satellite from 2001 to 2021, to estimate the daily burn rate in a protected area of the Brazilian Cerrado. For this purpose, data from the MODIS sensor was used, covering variables such as temperature, evapotranspiration, active fire, and burned area, complemented by climatic information from CHIRPS and Terraclimate products. The determination of the burn rate involved the polygonization of burned areas and the accounting of the duration of fires. In this context, machine learning algorithms such as Random Forest, Multilayer Perceptron, and SVM were explored, implemented through the Scikit-learn library. The focus of the study was to evaluate which of these algorithms would show the most suitable performance in predictions. The results point to an annual average of 50,000 hectares affected by wildfires in the protected area and its vicinity, with notable variations over the years analyzed. A correlation was identified between the daily burn rate and variables such as wind speed and temperature, while NDVI and evapotranspiration showed an inversely proportional relationship. The results suggest that, among the tested models, Random Forest may have a relatively more efficient performance, standing out in the accuracy of predictions. However, it is emphasized that caution and additional studies are necessary to confirm these results. In summary, our foundings indicates the potential of machine learning techniques in environmental management of wildfires, potentially contributing to the protection of the Cerrado ecosystems, although further investigations are necessary for a more comprehensive understanding. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2024.",,,,
Effects of the estimated inversion strength and aerosols on monthly variations of subtropical marine stratocumulus to the west of Africa,"Satellite and reanalysis data over the 2003–2022 period are used to study how the monthly variations of marine stratocumulus (MSc) to the west of Canary Islands and Namibia are influenced by thermodynamic variables and aerosols. Although the estimated inversion strength (EIS) has been thought to be the main predictor of low-cloud cover (LCC), the seasonal cycles of EIS and LCC differ significantly in the Canary MSc region. In linear regression models, adding dust aerosol (DA) optical depth as a predictor improves the prediction of LCC across all seasons and almost everywhere in the region compared to using EIS alone. In boreal summer, large amount of DAs are transported from the Sahara to the Canary MSc region. Analysis of the regression models shows that DAs contribute more than EIS to the Canary summer LCC maximum, reducing the error by up to 11 %. Biomass-burning aerosols (BBAs) also improve the prediction of LCC in the Canary MSc region, but less so than DAs, suggesting that BBAs are less effective as cloud condensation nucleii. Other known thermodynamic predictors of LCC (sea surface temperature, horizontal surface temperature advection, near-surface wind speed, and free-tropospheric relative humidity and vertical velocity) also improve the prediction, but much less effectively than the aerosols. In the Namibia MSc region, there are virtually no DAs but BBAs are abundant. There, EIS alone captures well the seasonal cycle of LCC. In this region, the effect of BBAs on LCC is hidden behind that of EIS, potentially because BBA optical depth and EIS coincidentally have similar seasonal cycles. © 2025 The Authors",,,,
Machine learning-enhanced combustion modeling for predicting laminar burning velocity of ammonia-hydrogen mixtures using improved reaction mechanisms,"The ammonia/hydrogen mixture is a promising zero-carbon fuel for internal combustion engines, with optimal efficiency in spark ignition engines at equivalence ratios of 0.6–1 and hydrogen fractions of 0.4–0.6. However, existing reaction mechanisms lose accuracy in this range, limiting combustion modeling. To address this, prediction accuracy is improved using refined reaction kinetics and machine learning algorithms. GRI Mech3.0 is refined by enhancing H/O, N2O, HNO, NH, and NH2 mechanisms, forming Model I for pure ammonia and Model II for lean burn ammonia-hydrogen mixtures. The simulated laminar burning speed of these models is compared with literature and seven other mechanisms. Combustion analysis includes sensitivity analysis of coefficients, nitric oxide emission rates, sub-mechanisms, and reaction sensitivities to assess their impact, with machine learning algorithms to improve accuracy. Model II achieves the highest accuracy under stoichiometric (RMSE = 1.4590 cm/s) and lean burn conditions (RMSE = 1.3701 cm/s). As different mechanisms suit various conditions, machine learning algorithms further enhance prediction accuracy. The support vector machine with particle swarm optimization improves computational accuracy by 2.9745 times over reaction kinetics, demonstrating its effectiveness. This study develops refined reaction mechanisms and machine learning models for practical applications in ammonia-hydrogen fueled SI engines. © 2025",,,,
"Evaluation of Air Quality by Particulate Matter in Junin and Huancavelica, Peru","Anthropogenic atmospheric particles with a diameter of less than 2.5µm (PM2.5) and between 2.5 to 10 µm (PM10) are among the main contributors to air pollution and have become a serious pollution threat in the Junin and Huancavelica region of Peru. This increase could be due to the burning of vegetation in the Amazon region of Brazil. Therefore, data obtained with the low-cost PA-II Purpleair sensor were analyzed to measure particulate matter (fine and coarse fashions) in the Junin region (Chanchamayo, station T. Huancayo, station T1 and Chupaca, station T3) and Huancavelica (Pampas, station T2). Likewise, the Hysplit model was used to quantify the transboundary wind trajectories from the Amazon region in Brazil to the Junin region in Peru. Shows that, during the rainy season, the maximum concentrations of PM2.5 and PM10 are 151 µg.m-3 (station T1) and 178 µg.m-3 (station T1), respectively. Finally, the results of the air quality index (AQI) for PM2.5 allow for the classification of the Huancayo and Chanchamayo stations with “very bad” and “moderate to bad” air quality, respectively. Also, in Pampas and Chupaca, the AQI is classified as very unhealthy and hazardous on almost 50% and 43% of days, respectively. Copyright: © 2025 by the authors.",,,,
Damselflies and dragonflies in distress: The impact of forest fires and logging on odonate assemblages,"We assessed the impact of logging and forest fires on the species richness, evenness, and structure of odonate assemblages located on the island of Borneo. Landscape-scale species richness was highest in unburnt and once-burnt landscapes and lowest in two landscapes subjected to multiple burn events. These landscapes also had lower evenness compared to primary and once-burnt landscapes, highlighting the detrimental effects of repeated burn events on odonate species assemblages. There was significant geographic distance dependence in three of the six landscapes studied including primary and burnt landscapes. Odonate assemblages, furthermore, did not significantly deviate from Hubbell's neutral model predictions at metacommunity and local scales in any of the landscapes. Finally, we identified a significant association between species traits and environmental conditions, which appeared to be largely driven by disturbance. Landscapes subjected to multiple burn events in particular were largely populated by species associated with standing water bodies and with large geographical distributions. Our study emphasises how disturbances like burning and logging are associated with shifts in species composition, favouring species associated with disturbed environments, while reducing the prevalence of endemic species. © 2025 The Author(s)",,,,
"Ambient Measurements of Daytime Decay Rates of Levoglucosan, Mannosan, and Galactosan","Quantifying atmospheric degradation of levoglucosan, a highly specific molecular marker for biomass burning (BB) aerosols, is essential in assessing impacts of BB on air quality and climate. However, the stability of levoglucosan in the atmosphere has only been evaluated through laboratory experiments or model simulations. Here, we investigated the atmospheric stability of levoglucosan and its two co-emitting isomers, mannosan and galactosan, utilizing bihourly measurement data at a suburban site in Hong Kong over a period of 4 months. The concentrations of the three saccharides, upon normalization by BB-derived potassium, displayed a distinct and consistent depletion during daytime hours from 08:00 to 16:00, which follows an exponential decay pattern. We calculated individual daytime decay rate constants of the three saccharides by utilizing their day-by-day decay kinetics. The decay rates of mannosan and galactosan were 34% and 40% higher than that of levoglucosan. The estimated lifetime of levoglucosan was 13 ± 7 hr, ranging from 3 to 46 hr under the atmospheric condition of temperature of 22 ± 5°C, and a relative humidity of 55 ± 14%. This work provides the first kinetic data of levoglucosan degradation derived from real ambient measurements. They are valuable for refining model predictions concerning BB aerosol impacts on local, regional, and global scales. © 2025. The Author(s).",,,,
Consistency of Aerosol Optical Properties between MODIS Satellite Retrievals and AERONET over a 14-Year Period in Central–East Europe,"Aerosols influence Earth’s climate by interacting with radiation and clouds. Remote sensing techniques aim to enhance our understanding of aerosol forcing using ground-based and satellite retrievals. Despite technological advancements, challenges persist in reducing uncertainties in satellite remote sensing. Our study examines retrieval biases in MODIS sensors on Terra and Aqua satellites compared to AERONET ground-based measurements. We assess their performance and the correlation with the AERONET aerosol optical depth (AOD) using 14 years of data (2010–2023) from 29 AERONET stations across 10 Central–East European countries. The results indicate discrepancies between MODIS Terra and Aqua retrievals: Terra overestimates the AOD at 16 AERONET stations, while Aqua underestimates the AOD at 21 stations. The examination of temporal biases in the AOD using the calculated estimated error (ER) between AERONET and MODIS retrievals reveals a notable seasonality in coincident retrievals. Both sensors show higher positive AOD biases against AERONET in spring and summer compared to fall and winter, with few ER values for Aqua indicating poor agreement with AERONET. Seasonal variations in correlation strength were noted, with significant improvements from winter to summer (from R2 of 0.58 in winter to R2 of 0.76 in summer for MODIS Terra and from R2 of 0.53 in winter to R2 of 0.74 in summer for MODIS Aqua). Over the fourteen-year period, monthly mean aerosol AOD trends indicate a decrease of −0.00027 from AERONET retrievals and negative monthly mean trends of the AOD from collocated MODIS Terra and Aqua retrievals of −0.00023 and −0.00025, respectively. An aerosol classification analysis showed that mixed aerosols comprised over 30% of the total aerosol composition, while polluted aerosols accounted for more than 22%, and continental aerosols contributed between 22% and 24%. The remaining 20% consists of biomass-burning, dust, and marine aerosols. Based on the aerosol classification method, we computed the bias between the AERONET AE and MODIS AE, which showed higher AE values for AERONET retrievals for a mixture of aerosols and biomass burning, while for marine aerosols, the MODIS AE was larger and for dust the results were inconclusive. © 2024 by the authors.",,,,
Termite gut microbiome being a rich source of potential lignocellulolytic bacterial strains,"A study was carried out to identify prospective cellulose degrading bacteria isolated from termite gut collected from various agriculture sites. Eight of the bacterial isolates displayed a very distinct zone of clearing on CMC (Carboxylmethyl cellulose) agar media after staining with 1% Congo red, indicating that they may have cellulose degrading ability. On a CMC agar plate, CRDB6 had the largest colony diameter (3.08 cm) as well as clear zone diameter (0.96 cm), however CRDB 1 has maximum cellulolytic activity (1.45 cm) followed by CRDB5 and CRDB6 (1.33 cm and 1.28 cm) respectively. CRDB3, CRDB4 and CRDB9 showed Gram negative reaction among crop residue degrading bacterial isolates, while the remainder showed Gram positive reaction. The morphological characteristics of the bacteria isolates, such as colony shape, elevation, margin, colour and opacity, differed. Isolates CRDB6 produced highest β-glucosidase activity (12.66 m L-1) followed by CRDB1 (12.20 mg m L-1) and CRDB5 (10.21 m L-1) in Luria broth culture. Indole acetic acid production (with tryptophan) was greater in CRDB1 (389.33 mg/ml), CRDB6 (356.9 m L-1) and CRDB3 (315.96 m L-1) while as P-solubilization potential was peaked in CRDB6 (2.41 m L-1) followed by CRDB4 (1.76 m L-1) and CRDB3. Overall, isolate CRDB6 exhibited the highest cellulolytic activity as compared to rest of the bacterial isolates. These results will help in preparing bacterial consortia for the management of crop residues. © 2024 World Researchers Associations. All rights reserved.",,,,
Aerosol classification by application of machine learning spectral clustering algorithm,"Precise understanding of aerosol classification is crucial for accurately quantifying the effects of aerosols on the Earth's energy budget, improving remote sensing retrieval algorithms, formulating climate change-related policies, and more. In this study, we used aerosol measurements from the quality assured AERosol Robotic NETwork (AERONET) and utilized a multivariate spectral clustering algorithm, a machine learning tool, to classify global aerosols. The spectral clustering algorithm is a variant of the clustering algorithm that employs eigenvalues and eigenvectors of the data matrix to project the data into a lower-dimensional space of a similar cluster. To accomplish this, we considered five aerosol optical parameters: fine-mode Aerosol Optical Depth, Extinction Angstrom Exponent, Absorption Angstrom Exponent, Single Scattering Albedo, and Refractive Index from 150 AERONET sites distributed in six continents (Africa, Asia, Australia, Europe, North and South America) during 1993 to 2022. Using the clustering analysis, we identified four primary aerosol types: dust, urban, biomass burning, and mixed aerosols. Among the continents, the African and Asian sites exhibited the highest contribution of dust aerosols, as the region has significant global dust sources. Conversely, Australia, Europe, North, and South America are predominantly influenced by fine-mode aerosols, given their considerable distance from major dust source regions. © 2023 Turkish National Committee for Air Pollution Research and Control",,,,
