Title,Abstract,Related,detection,prediction
Applicability of UAVs in detecting and monitoring burning residue of paddy crops with IoT Integration: A step towards greener environment,"The disposal of paddy-based residue in some parts of Indian north-western states, particularly in Punjab and Haryana, has emerged as a significant issue, leading farmers to resort to on-site burning. This practice wastes valuable resources, has detrimental effects on the local economy, and poses a global environmental challenge. The consequences of burning agricultural residues include soil erosion, carbon sequestration problems, and a negative impact on the ecosystem. Recognizing the importance of managing paddy residue due to its nutrient content and its contribution to soil–plant-atmosphere continuity, this article aims to quantify the amount of residue generated and shed light on the adverse effects of residue burning on human health, soil quality, and the environment in the region. Employing drone technology, the study presents an experimental case based on data collected from selected states in India. Real-time monitoring of agricultural land using unmanned aerial vehicles (UAVs) enables the acquisition of crucial data on paddy residue. The collected images are then transferred to the cloud for analysis and decision-making purposes. By leveraging this approach, the study achieves an accuracy of 96.67% in analysing paddy crop waste and identifying areas where residue burning occurs. The proposed work offers timely assistance to state authorities in pinpointing burning locations promptly, and taking necessary measures accordingly. This monitoring initiative not only contributes to climate control efforts but also aids in combating the rising AQI levels of air pollution, and potentially exploring other means of monitoring various environmental factors. © 2023 Elsevier Ltd",,No,No
An Investigation of Non-Spherical Smoke Particles Using CATS Lidar,"Smoke particles originating from biomass burning events are typically assumed to be spherical, yet non-spherical smoke particles are also reported from in situ observations. The spatial and temporal distributions of non-spherical smoke particles, which could have impacts on passive- and active-based satellite aerosol retrievals, are not yet well understood. In this analysis, using NASA's Cloud Aerosol Transport System (CATS) lidar data during the biomass burning season over Africa and South America from 2015 to 2017, we studied the frequency and distribution of non-spherical smoke particles. A supplemental smoke aerosol typing algorithm was developed to identify aerosol layers containing non-spherical smoke particles which could otherwise be misclassified as dust or dust mixture using the CATS standard aerosol typing algorithm. Approximately 30% of smoke layers over Africa and South America are non-spherical (depolarization ratio >0.1) and align with dry biomes of low soil moisture values. Conversely, spherical smoke layers (depolarization ratio <0.1) are in moist regions. The modified algorithm with improved discrimination of non-spherical smoke detection using CATS depolarization ratio was further verified with the National Oceanic and Atmospheric Administration Hybrid Single-Particle Lagrangian Integrated Trajectory model, Aerosol Robotic Network Ångström exponent retrievals, and National Centers for Environmental Prediction/National Center for Atmospheric Research Reanalysis soil moisture data. This study highlights the limitations of current aerosol typing algorithms and the potential of algorithms employing ancillary data to improve aerosol typing such as multi-wavelength volume depolarization ratio measurements or synergy with passive sensors to further discriminate between aerosol types from spaceborne elastic backscatter lidar. © 2023. The Authors.",,No,No
Stubble Burning Detection and Prevention using Machine Learning and Blockchain,"Stubble burning in India contributes significantly to air pollution by emitting harmful gases and particles into the atmosphere. This annual practice is responsible for the severe pollution that envelops the country every winter, particularly in the National Capital Region. Lower temperatures and steadier air in winter exacerbate the impact of rice stubble burning. However, research on using machine learning with blockchain to address this problem is limited. This study aims to provide a conceptual framework for using machine learning and blockchain to prevent and detect stubble burning. With the help of machine learning and satellite images, areas originating the pollution can be identified. This can be done with pre-processed images sent to pre-trained models to identify the place of origin of the pollution. If the pollution crosses a threshold limit, then the location will be stored in the blockchain. A decentralized application will be created from where these details can be accessed by concerned authorities. © 2023 Bharati Vidyapeeth, New Delhi.",,No,No
An AI-based Image Recognition System for Early Detection of Forest and Field Fires,"Forest fires and field fires (agricultural areas, grasslands, etc.) have severe global implications, causing significant environmental and economic harm. Traditional fire detection methods often rely on human personnel, which can pose safety risks and reduce their efficiency in large-scale monitoring. There is an urgent need for real-time fire detection technology to address these challenges and minimize losses. In this research, we propose the utilization of artificial intelligence techniques, specifically Deep Learning with Convolutional Neural Networks (CNN), to tackle this issue. Our proposed system analyzes real-time images captured by IP cameras and stored on a cloud server. Its primary objective is to detect signs of fires and promptly notify users through a mobile application, ensuring timely awareness. We meticulously assembled a dataset to train our model by merging three existing datasets comprising both fire and non-fire images. Also, we incorporated images that could potentially be misinterpreted as fire, such as red trees, individuals wearing red clothing, and red flags. Furthermore, we supplemented the dataset with images of unaffected areas obtained from online sources. The final dataset consisted of 1,588 fire images and 909 non-fire images. During evaluations, our model achieved an accuracy of 93.07%. This enables effective detection, thus rapid intervention and damage reduction. It is a proactive and preventive solution to combat these devastating fires. © Copyright 2023 by Forest Engineering and Technologies Platform.",,No,No
Assessing predictability of post-monsoon crop residue fires in Northwestern India,"Over the past five decades, the Green Revolution in India has been a great success resulting in significantly increased crop yields and food grain productivity. Northwestern India, also known as the country’s breadbasket, alone produces two-thirds of the wheat and rice grains under the crop rotation system. Our previous study has shown that the post-monsoon rice crop production in the Punjab state of India has increased by 25%. The crop yields produce proportionate amounts of residue, a large part of which is subjected to burn in the open fields due to the near-absence of a wide-scale, affordable, and environmentally sustainable removal mechanism. A significant increase in crop productivity coincides with a 60% increase in post-harvest crop residue burning during 2002–2016. The study also demonstrated a robust relationship between satellite measurements of vegetation index—a proxy for crop amounts, and post-harvest fires—a precursor of air pollution events, for predicting seasonal agricultural burning. In this report, the efficacy of the proposed prediction model is assessed by comparing the forecasted seasonal fire activity against the actual detection of active fires for the post-monsoon burning seasons of 2017–2021. A simple linear regression model allows efficient prediction of seasonal fire activity within an error of up to 10%. In addition to forecasting seasonal fire activity, the linear regression model offers a practical tool to track and evaluate the effectiveness of the residue management system intended to reduce fire activities and resulting air pollution. Copyright © 2022 Jethva.",,No,No
Stubble Burning Detection Using Multi-Sensor and Multi-Temporal Satellite Data,"Stubble burning is one of the major environmental hazards in almost all parts of the world. As agriculture became mechanized, combine harvesters leaves root-bound and scattered crop residues that are labor and cost intensive to remove, causing an increase in the recorded cases for burning of residues. The problem of stubble burning is more intense in the Indo-Gangetic Plain (IGP) of India due to highly mechanized farming practices, which leaves a huge amount of stubble in the field particularly after the harvest of rice. Traditionally, farmers collect crop residue to feed livestock manually. In this stubble burning study we explore the potential of the MODIS ""MCD14DL-NRT""(Active Fire Data) product at a spatial resolution of 1000m available since November 2000, for the identification of fire prone areas in India. This study highlights the count of fire occurrences recorded from the MODIS Active Fire Data over a period of more than 20 years. During the months of October and November, which coincide with the paddy harvest season in the area an abrupt increase in fire activity is observed. The period of paddy harvesting, coupled with the onset of the winter season in the northern part of the country makes the region highly polluted and a breeding ground for numerous health problems for the citizens. In our study, we found that the state of Punjab records the majority of fires in India during this time period. © 2023 IEEE.",,No,No
Forecasting Crop Residue Fires in Northeastern China Using Machine Learning,"With repeated changes to local crop residue disposal policies in recent years, the distribution and density of crop residue fire events have been irregular in both space and time. A nonlinear and complex relationship between natural and anthropogenic factors often affects the occurrence of crop residue field fires. To overcome this difficulty, we used the Himawari-8 wildfire data for 2018–2021 to verify the likelihood of crop residue fires against the results of three machine learning methods: logistic regression, backpropagation neural network (BPNN), and decision tree (DT). The results showed the verified accuracies of BPNN and DT methods were 68.59 and 79.59%. Meantime, the sensitivity and specificity of DT performed the best, with the value of area under the curve (AUC) 0.82. Furthermore, among all the influencing factors, open burning prohibition constraints, relative humidity and air pressure showed significant correlations with open burning events. As such, BPNN and DT could accurately forecast the occurrence of agricultural fires. The results presented here may improve the ability to forecast agricultural field fires and provide important advances in understanding fire formation in Northeastern China. They would also provide scientific and technical support for crop fire control and air quality forecasting. © 2022 by the authors.",,No,No
Open Agricultural Burning Detection with Natural Inspired Swarm-based Detection Platform,"Agriculture often plays a big part in economic growth in most countries such as India, Indonesia, Thailand as well as Malaysia. Countries such as Thailand and Indonesia contribute a large volume of rice imports and export, however, in Indonesia, this major rice production comes with a large setback. Agriculture practices in Indonesia utilize open burning to process by-products of harvested rice fields to process it into bio-fertilizers which later fertilize the crop field. This is a problem as open burning on large scale causes major haze storms which spreads from Indonesia to the majority of parts of Malaysia annually. The composition of haze which includes carbon monoxide and nitrogen dioxide is hazardous to the human body when inhaled, they also contribute to the cause of air pollution. To reduces the severity of illegal open burning, we must first understand the overall characteristic of the smoke plume before introducing detection methods. Platforms such as drones and gliders with olfaction sensors can detect the plume thus locating the fire source. With the introduction of Swarm intelligence (SI), a drone detection platform can be deployed at large volumes to cover larger areas while localizing fire sources in a much more efficient fashion. Thus, this paper provides a review of swarm intelligence with the collaboration of sensors in optimizing plume dispersion problems and suggestions for future research ideas in collaborating detection platforms and SI. Open Burning has been a decade-long issue that the world trying to tackle when it comes to climate change. In Southeast Asia countries often, left-over crops are burnt openly, and the by-product of these open burning are utilized as bio-fertilizers which nourishes the crop fields. This has not only addressed the source of global warming but contributes to annual haze storm that affects countries like Malaysia and Thailand severely. To reduce the severity of open burning problems, we must first tackle the source of the problem, thus detecting the smoke plume emitted by these open burning can be the key to shutting down the possibility of open burning. However, detecting a smoke plume can be challenging as it is a dynamic problem that changes over time with external influences. Introducing Swarm Intelligence (SI) into the drone platform can reduce the time taken to localize the source of these open burning, and thus distinguishing these fire sources can minimize the impact of already ongoing open burning.  © 2022 IEEE.",,No,No
Smoke detection from himawari-8 satellite data over kalimantan island using multilayer perceptrons,"The smoke from biomass burning on Kalimantan Island has caused severe environmental problems in Southeast Asia’s primary burning regions and surrounding regions due to the overspread haze. To monitor the biomass burning aerosol plumes on Kalimantan Island, the high-temporal-resolution Himawari-8 satellite data were used in this study. However, studies are limited on smoke detection using satellite remote sensing for Kalimantan Island because of the difficulty caused by frequently occurring clouds and the lack of prior knowledge on applying traditional threshold methods. In this study, we used the multilayer perceptron (MLP) method to identify smoke over Kalimantan Island in August 2015, one of the most severe fire seasons. To prepare sufficient supervision information, a pixel-level labeled dataset was established based on the Himawari-8 data. Based on the labeled dataset, three MLP approaches and two sampling methods were applied to create training samples. A comparison between the detection results for the MLP approaches and classification tree analysis (i.e., CTA) showed that MLP is superior to CTA. The visualization results also showed that the detected smoke areas included those mixed with clouds. Some detected smoke is difficult to identify by the human eye, suggesting that the explanatory dataset built for this study is sufficiently comprehensive. Therefore, the pixel-level labeled dataset and MLP are suitable for regions that are frequently cloud-covered. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",,No,No
A Global Bottom-Up Approach to Estimate Fuel Consumed by Fires Using Above Ground Biomass Observations,"Real-time estimates of the fuel consumed during a fire (dry-matter) relies on indirect estimate from remotely sensed released energy combined with biome dependent conversion coefficients. The uncertainties in the conversions lead to the use of inflation factors to avoid large underestimations in the prediction of aerosol load during fires. In this study, adopting two different fire inventories for burned areas, we apply above ground biomass (AGB) observations [from Soil Moisture and Ocean Salinity (SMOS) L-band vegetation optical depth] as proxy for fuel load in deriving estimates of dry-matter. These new estimates are then converted into biomass burning aerosols and validated against independent aerosol optical depth observations from the AERONET in situ global network. Results showed that use of AGB as a proxy observation of fuel load improves fire emission estimates and substituting the need for indirect dry-matter estimates from remotely sensed fire activity or for the use of inflation factors. © 2021. The Authors.",,No,No
Can neural networks forecast open field burning of crop residue in regions with anthropogenic management and control? A case study in northeastern China,"Open burning is often used to remove crop residue during the harvest season. Despite a series of regulations by the Chinese government, the open burning of crop residue still frequently occurs in China, and the monitoring and forecasting crop fires have become a topic of active research. In this paper, crop fires in Northeastern China were forecasted using an artificial neural network (ANN) based on moderate-resolution imaging spectroradiometer (MODIS) satellite fire data from 2013–2020. Both natural factors (meteorological, soil moisture content, harvest date) and anthropogenic factors were considered. The model’s forecasting accuracy under natural factors reached 77.01% during 2013–2017. When considering the influence of anthropogenic management and control policies, such as the straw open burning prohibition areas in Jilin Province, the accuracy of the forecast results for 2020 was reduced to 60%. Although the forecasting accuracy was lower than for natural factors, the relative error between the observed fire points and the back propagation neural network (BPNN) forecasting results was acceptable. In terms of influencing factors, air pressure, the change in soil moisture content in a 24h period and the daily soil moisture content were significantly correlated with open burning. The results of this study improve our ability to forecast agricultural fires and provide a scientific framework for regional prevention and control of crop residue burning. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",,No,No
Applications of artificial intelligence in fire safety of agricultural structures,"Artificial intelligence applications in fire safety of agricultural structures have practical economic and technological benefits on commercial agriculture. The FAO estimates that wildfires result in at least USD 1 billion in agriculture-related losses due to the destruction of livestock pasture, destruction of agricultural buildings, premature death of farm animals, and general disruption of agricultural activities. Even though artificial neural networks (ANNs), genetic algorithms (GAs), probabilistic neural networks (PNNs), and adaptive neurofuzzy inference systems (AN-FISs), among others, have proven useful in fire prevention, their application is limited in real farm environments. Most farms rely on traditional/non-technology-based methods of fire prevention. The case for AI in agricultural fire prevention is grounded on the accuracy and reliability of computer simulations in smoke movement analysis, risk assessment, and postfire analysis. In addition, such technologies can be coupled with next-generation fire-retardant materials such as intumescent coatings with a polymer binder, blowing agent, carbon donor, and acid donor. Future prospects for AI in agriculture transcend basic fire safety to encompass Society 5.0, energy systems in smart cities, UAV monitoring, Agriculture 4.0, and decentralized energy. However, critical challenges must be overcome, including the health and safety aspects, cost, and reliability. In brief, AI offers un-limited potential in the prevention of fire hazards in farms, but the existing body of knowledge is inadequate. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",,No,No
"Exploring prisma scene for fire detection: Case study of 2019 bushfires in ben halls gap national park, nsw, australia","Precursore IperSpettrale della Missione Applicativa (Hyperspectral Precursor of the Application Mission, PRISMA) is a new hyperspectral mission by the ASI (Agenzia Spaziale Italiana, Italian Space Agency) mission launched in 2019 to measure the unique spectral features of diverse materials including vegetation and forest disturbances. In this study, we explored the potential use of this new sensor PRISMA for active wildfire characterization. We used the PRISMA hypercube acquired during the Australian bushfires of 2019 in New South Wales to test three detection techniques that take advantage of the unique spectral features of biomass burning in the spectral range measured by PRISMA. The three methods—the CO2-CIBR (continuum interpolated band ratio), HFDI (hyperspec-tral fire detection index) and AKBD (advanced K band difference)—were adapted to the PRISMA sensor’s characteristics and evaluated in terms of performance. Classification techniques based on machine learning algorithms (support vector machine, SVM) were used in combination with the visual interpretation of a panchromatic sharpened PRISMA image for validation. Preliminary analysis showed a good overall performance of the instrument in terms of radiance. We observed that the presence of the striping effect in the data can influence the performance of the indices. Both the CIBR and HFDI adapted for PRISMA were able to produce a detection rate spanning between 0.13561 and 0.81598 for CO2-CIBR and that between 0.36171 and 0.88431 depending on the chosen band combination. The potassium emission index turned out to be inadequate for locating flaming in our data, possibly due to multiple factors such as striping noise and the spectral resolution (12 nm) of the PRISMA band centered at the potassium emission. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",,No,No
A classification scheme to determine wildfires from the satellite record in the cool grasslands of southern Canada: Considerations for fire occurrence modelling and warning criteria,"Daily polar-orbiting satellite MODIS thermal detections since 2002 were used as the baseline for quantifying wildfire activity in the mixed grass and agricultural lands of southernmost central Canada. This satellite thermal detection record includes both the responsible use of fire (e.g. for clearing crop residues, grassland ecosystem management, and traditional burning) and wildfires in grasslands and agricultural lands that pose a risk to communities and other values. A database of known wildfire evacuations and fires otherwise requiring suppression assistance from provincial forest fire agencies was used to train a model that classified satellite fire detections based on weather, seasonality, and other environmental conditions. A separate dataset of high resolution (Landsat 8 thermal anomalies) of responsible agricultural fire use (e.g. crop residue burning) was collected and used to train the classification model to the converse. Key common attributes of wildfires in the region included occurrence on or before the first week of May with high rates of grass curing, wind speeds over 30 km h-1, relative humidity values typically below 40 %, and fires that are detected in the mid-afternoon or evening. Overall, grassland wildfire is found to be restricted to a small number of days per year, allowing for the future development of public awareness and warning systems targeted to the identified subset of weather and phenological conditions. © 2020 Author(s).",,No,No
"Exploring prisma scene for fire detection: Case study of 2019 bushfires in ben halls gap national park, nsw, australia","Precursore IperSpettrale della Missione Applicativa (Hyperspectral Precursor of the Application Mission, PRISMA) is a new hyperspectral mission by the ASI (Agenzia Spaziale Italiana, Italian Space Agency) mission launched in 2019 to measure the unique spectral features of diverse materials including vegetation and forest disturbances. In this study, we explored the potential use of this new sensor PRISMA for active wildfire characterization. We used the PRISMA hypercube acquired during the Australian bushfires of 2019 in New South Wales to test three detection techniques that take advantage of the unique spectral features of biomass burning in the spectral range measured by PRISMA. The three methods—the CO2-CIBR (continuum interpolated band ratio), HFDI (hyperspec-tral fire detection index) and AKBD (advanced K band difference)—were adapted to the PRISMA sensor’s characteristics and evaluated in terms of performance. Classification techniques based on machine learning algorithms (support vector machine, SVM) were used in combination with the visual interpretation of a panchromatic sharpened PRISMA image for validation. Preliminary analysis showed a good overall performance of the instrument in terms of radiance. We observed that the presence of the striping effect in the data can influence the performance of the indices. Both the CIBR and HFDI adapted for PRISMA were able to produce a detection rate spanning between 0.13561 and 0.81598 for CO2-CIBR and that between 0.36171 and 0.88431 depending on the chosen band combination. The potassium emission index turned out to be inadequate for locating flaming in our data, possibly due to multiple factors such as striping noise and the spectral resolution (12 nm) of the PRISMA band centered at the potassium emission. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",,No,No
